  0.10101807E+00  0.56400629E-02  0.42408985E-02 -0.46929481E-01
  0.10170997E+00  0.56303835E-02  0.42780246E-02 -0.47253194E-01
  0.10240187E+00  0.56199220E-02  0.43147674E-02 -0.47576879E-01
  0.10309378E+00  0.56086797E-02  0.43511201E-02 -0.47900530E-01
  0.10378568E+00  0.55966584E-02  0.43870760E-02 -0.48224137E-01
  0.10447759E+00  0.55838596E-02  0.44226291E-02 -0.48547692E-01
  0.10516949E+00  0.55702853E-02  0.44577736E-02 -0.48871184E-01
  0.10586140E+00  0.55559373E-02  0.44925041E-02 -0.49194606E-01
  0.10655330E+00  0.55408178E-02  0.45268156E-02 -0.49517946E-01
  0.10724521E+00  0.55249290E-02  0.45607036E-02 -0.49841194E-01
  0.10793711E+00  0.55082732E-02  0.45941638E-02 -0.50164341E-01
  0.10862902E+00  0.54908528E-02  0.46271924E-02 -0.50487375E-01
  0.10932092E+00  0.54726705E-02  0.46597862E-02 -0.50810286E-01
  0.11001283E+00  0.54537290E-02  0.46919421E-02 -0.51133061E-01
